AFP,Duration,Effort
31.0,6.0,237.0
1186.0,9.0,3711.0
256.0,19.0,2941.0
191.0,11.0,2430.0
213.0,10.0,2532.0
4562.0,15.0,26408.0
141.0,2.0,1244.0
187.0,6.0,562.0
128.0,10.0,3303.0
194.0,12.0,499.0
869.0,6.0,2078.0
125.0,3.0,2326.0
477.0,6.0,2741.0
717.0,5.0,3546.0
25.0,3.0,140.0
73.0,8.0,1404.0
100.0,12.0,929.0
273.0,5.0,528.0
587.0,15.0,3748.0
1437.0,18.0,4900.0
97.0,12.0,1853.0
224.0,13.0,2890.0
321.0,11.0,1076.0
99.0,4.0,2387.0
416.0,6.0,1586.0
71.0,4.0,997.0
120.0,5.0,212.0
213.0,12.0,1278.0
1634.0,12.0,7060.0
275.0,9.0,702.0
458.0,16.0,903.0
218.0,8.0,6765.0
498.0,19.0,8227.0
143.0,4.0,334.0
722.0,9.0,4164.0
236.0,15.0,6844.0
239.0,10.0,1661.0
1882.0,10.0,6068.0
291.0,14.0,6063.0
328.0,13.0,665.0
264.0,6.0,544.0
270.0,6.0,893.0
32.0,2.5,352.0
1382.0,8.0,3344.0
98.0,1.0,404.0
289.0,8.0,5732.0
1059.0,17.0,22920.0
724.0,9.0,9409.0
40.0,4.0,285.0
128.0,3.0,1293.0
1248.0,12.0,15165.0
387.0,17.0,3287.0
73.0,3.0,764.0
151.0,3.0,2194.0
465.0,4.0,2014.0
63.0,4.0,827.0
226.0,10.0,2508.0
115.0,1.5,201.0
189.0,15.0,563.0
55.0,11.0,534.0
85.0,4.0,1039.0
2143.0,7.0,43303.0
520.0,8.0,3133.0
113.0,3.0,1801.0
264.0,6.0,2639.0
349.0,4.0,2360.0
229.0,5.0,2520.0
172.0,5.0,1788.0
323.0,13.0,1238.0
89.0,4.0,442.0
878.0,5.0,3368.0
220.0,3.0,281.0
150.0,3.0,687.0
161.0,2.0,220.0
804.0,12.0,11388.0
272.0,14.0,9720.0
33.0,2.0,145.0
64.0,3.0,140.0
277.0,19.0,1265.0
322.0,13.0,5242.0
164.0,11.0,2791.0
145.0,3.0,742.0
73.0,5.0,584.0
245.0,7.0,893.0
406.0,7.0,5639.0
98.0,5.0,5533.0
83.0,3.0,410.0
182.0,5.0,1001.0
820.0,11.0,2552.0
545.0,11.0,8740.0
105.0,8.0,198.0
55.0,1.0,2347.0
62.0,8.0,817.0
109.0,1.0,249.0
436.0,15.0,7762.0
179.0,4.0,776.0
1710.0,21.0,13130.0
128.0,2.0,1644.0
174.0,8.0,13528.0
70.0,5.0,617.0
379.0,7.0,2391.0
258.0,5.0,605.0
129.0,4.0,2064.0
856.0,12.0,2551.0
127.0,7.0,1668.0
381.0,19.0,1817.0
234.0,10.0,5103.0
215.0,8.0,2836.0
1406.0,1.0,14938.0
85.0,13.0,1049.0
59.0,10.0,1061.0
358.0,9.0,13919.0
73.0,7.0,3675.0
597.0,6.0,2542.0
276.0,2.0,2244.0
728.0,4.0,8046.0
59.0,6.0,4945.0
98.0,11.0,1313.0
756.0,7.0,3214.0
155.0,10.0,483.0
544.0,4.0,2306.0
813.0,9.0,1634.0
75.0,6.0,720.0
112.0,13.0,1073.0
211.0,13.0,3566.0
895.0,7.0,780.0
74.0,14.0,3995.0
3331.0,42.0,49034.0
64.0,6.0,392.0
1402.0,23.0,17607.0
337.0,8.0,591.0
73.0,6.0,812.0
64.0,12.0,564.0
1703.0,8.0,8549.0
151.0,3.0,391.0
66.0,2.0,1817.0
70.0,3.0,540.0
754.0,8.0,7443.0
325.0,6.0,8663.0
168.0,12.0,4622.0
226.0,7.0,915.0
335.0,12.0,25401.0
76.0,5.0,569.0
221.0,4.0,1512.0
1010.0,11.0,5053.0
116.0,10.0,1939.0
39.0,1.0,114.0
170.0,8.0,1532.0
179.0,4.0,4723.0
166.0,13.0,2971.0
354.0,10.0,5841.0
615.0,8.0,941.0
126.0,8.0,1035.0
1390.0,13.0,5597.0
129.0,8.0,2988.0
203.0,5.0,3219.0
758.0,15.0,4630.0
558.0,6.0,4112.0
25.0,6.0,580.0
850.0,5.0,10942.0
235.0,9.0,937.0
58.0,8.0,2515.0
316.0,8.0,2600.0
7633.0,19.0,25217.0
119.0,2.0,176.0
55.0,3.0,341.0
1644.0,38.0,16357.0
1193.0,12.0,3006.0
605.0,8.0,1694.0
389.0,6.0,1134.0
132.0,8.0,1186.0
132.0,9.0,1383.0
286.0,6.0,1727.0
305.0,7.0,4504.0
268.0,8.0,4800.0
110.0,24.0,2553.0
3963.0,11.0,16921.0
397.0,7.0,7459.0
254.0,11.0,3877.0
134.0,8.0,2088.0
266.0,8.0,4695.0
237.0,9.0,3201.0
1243.0,9.0,11490.0
666.0,13.0,752.0
1810.0,35.0,29399.0
88.0,6.0,2299.0
62.0,5.0,883.0
305.0,10.0,8702.0
349.0,8.0,3703.0
156.0,4.0,705.0
100.0,15.0,1434.0
222.0,4.0,2450.0
506.0,9.0,3500.0
123.0,3.0,1896.0
252.0,11.0,6821.0
258.0,4.0,1393.0
166.0,7.0,2604.0
181.0,10.0,3638.0
284.0,4.0,3234.0
52.0,3.0,252.0
102.0,3.0,1028.0
58.0,5.0,691.0
1196.0,15.0,7824.0
38.0,4.0,247.0
84.0,10.0,2738.0
73.0,6.0,1121.0
449.0,8.0,16042.0
551.0,13.0,2435.0
194.0,8.0,1440.0
185.0,16.0,6416.0
134.0,5.0,1213.0
1241.0,15.0,10222.0
99.0,3.0,241.0
1285.0,16.5,1200.0
466.0,10.0,1708.0
77.0,4.0,2108.0
81.0,1.0,454.0
694.0,8.0,4086.0
62.0,5.0,2027.0
56.0,3.0,293.0
753.0,12.0,4301.0
421.0,15.5,16788.0
59.0,3.0,566.0
409.0,11.0,2672.0
115.0,12.0,1869.0
93.0,3.0,803.0
71.0,7.0,4019.0
971.0,14.0,4867.0
74.0,17.0,3132.0
81.0,1.0,89.0
106.0,7.0,1126.0
1168.0,8.0,1538.0
1093.0,11.0,7263.0
67.0,2.0,3853.0
1256.0,28.0,28855.0
72.0,15.0,1248.0
777.0,13.0,15039.0
131.0,13.0,4947.0
134.0,8.0,2019.0
826.0,42.0,5400.0
3180.0,36.0,33028.0
324.0,13.0,5078.0
220.0,3.0,701.0
258.0,12.0,736.0
139.0,7.0,976.0
274.0,4.0,1167.0
231.0,12.0,3762.0
126.0,5.0,619.0
93.0,8.0,1101.0
1825.0,15.0,1210.0
500.0,8.0,5876.0
373.0,10.0,2395.0
330.0,10.0,1050.0
57.0,4.0,1741.0
127.0,4.0,1579.0
1362.0,11.0,3193.0
1463.0,23.0,36046.0
148.0,3.0,3437.0
474.0,6.0,1829.0
77.0,10.0,408.0
213.0,2.5,801.0
175.0,7.0,597.0
360.0,18.0,763.0
331.0,5.0,1238.0
285.0,7.0,1249.0
187.0,3.0,13752.0
502.0,14.0,9296.0
303.0,1.0,329.0
174.0,17.0,3088.0
44.0,2.0,380.0
387.0,7.0,2333.0
406.0,19.0,2109.0
496.0,14.0,10080.0
116.0,2.0,553.0
53.0,16.0,354.0
209.0,2.5,190.0
903.0,11.0,5482.0
469.0,11.0,3191.0
1894.0,12.0,3986.0
215.0,7.0,560.0
82.0,2.0,80.0
1694.0,16.0,7816.0
81.0,5.0,2002.0
297.0,6.0,1557.0
280.0,7.0,1417.0
56.0,5.0,1246.0
492.0,11.0,4158.0
426.0,2.0,646.0
499.0,10.0,2310.0
60.0,5.0,992.0
362.0,6.0,7091.0
363.0,5.0,3431.0
53.0,3.0,1007.0
17518.0,14.0,54620.0
199.0,2.0,871.0
2171.0,8.0,19699.0
220.0,4.0,1930.0
1355.0,26.0,7505.0
374.0,2.0,300.0
62.0,3.0,349.0
311.0,6.0,2038.0
132.0,6.0,601.0
135.0,15.0,667.0
79.0,5.0,3585.0
155.0,4.0,1916.0
965.0,30.0,3655.0
296.0,10.0,5432.0
56.0,3.0,170.0
206.0,8.0,1823.0
651.0,4.0,3612.0
2323.0,6.0,3981.0
146.0,6.0,1984.0
284.0,5.0,3646.0
249.0,9.0,3800.0
32.0,3.0,498.0
1908.0,48.0,27000.0
253.0,7.0,1694.0
184.0,4.0,2952.0
76.0,1.0,374.0
276.0,4.0,300.0
3471.0,17.0,7575.0
380.0,9.0,3322.0
155.0,8.0,5196.0
327.0,16.0,2566.0
193.0,5.0,1686.0
1108.0,6.0,25054.0
363.0,10.0,117.0
249.0,3.0,500.0
769.0,8.0,12551.0
137.0,3.0,399.0
579.0,7.0,784.0
133.0,6.0,2112.0
78.0,3.0,600.0
101.0,1.5,450.0
1222.0,20.0,5800.0
1093.0,7.0,2565.0
222.0,4.0,2385.0
2067.0,21.0,10398.0
175.0,10.0,3434.0
230.0,3.0,400.0
104.0,2.0,338.0
177.0,17.0,2835.0
62.0,2.0,594.0
487.0,6.0,1017.0
177.0,8.0,789.0
105.0,3.0,774.0
140.0,1.5,640.0
230.0,4.0,500.0
236.0,10.0,601.0
846.0,13.0,16179.0
139.0,6.0,2446.0
51.0,3.0,338.0
195.0,9.0,1786.0
51.0,3.0,899.0
1106.0,20.0,16560.0
99.0,4.0,526.0
56.0,6.0,440.0
213.0,7.0,2185.0
1217.1,17.0,287.0
507.3,7.0,82.5
2306.8,15.0,1107.31
788.5,18.0,86.9
1337.6,13.0,336.3
421.3,5.0,84.0
99.9,5.0,23.2
993.0,11.0,130.3
1592.9,14.0,116.0
240.0,5.0,72.0
1611.0,13.0,258.7
789.0,31.0,230.7
690.9,20.0,157.0
1347.5,26.0,246.9
1044.3,14.0,69.9
101.65,107.0,485.0
57.12,144.0,990.0
1010.88,604.0,13635.0
45.6,226.0,1576.0
1022.58,326.0,3826.0
77.04,294.0,1079.0
159.6,212.0,2224.0
225.54,175.0,1698.0
144.72,584.0,1173.0
84.42,171.0,1401.0
126.42,201.0,2170.0
392.16,195.0,1122.0
18.9,109.0,1024.0
112.14,263.0,1832.0
210.08,165.0,1016.0
260.95,46.0,322.0
609.7,186.0,580.0
169.85,189.0,1003.0
56.0,95.0,380.0
30.0,53.0,220.0
241.86,365.0,2356.0
219.88,438.0,1388.0
229.71,109.0,1066.0
458.38,283.0,2860.0
177.63,137.0,1143.0
287.64,102.0,1431.0
343.54,103.0,1868.0
346.8,192.0,2172.0
1121.48,219.0,8509.0
761.08,484.0,5927.0
464.0,173.0,2663.0
203.01,169.0,1425.0
550.14,207.0,3504.0
86.45,61.0,652.0
1362.11,311.0,7649.0
681.0,418.0,5927.0
485.1,410.0,6607.0
172.96,497.0,2591.0
2075.8,259.0,4494.0
756.25,234.0,4824.0
789.66,462.0,5094.0
357.0,291.0,3088.0
62.08,116.0,892.0
157.56,128.0,750.0
322.62,185.0,5646.0
81.34,207.0,1532.0
191.0,151.0,1280.0
121.52,99.0,313.0
222.78,61.0,339.0
113.52,101.0,583.0
15.36,462.0,726.0
320.12,133.0,1939.0
84.28,106.0,669.0
248.88,68.0,1413.0
616.32,239.0,4115.0
515.07,330.0,4009.0
88.2,37.0,630.0
115.14,187.0,718.0
63.84,329.0,1584.0
1015.98,120.0,5816.0
359.64,85.0,2037.0
240.84,49.0,1428.0
285.12,152.0,1252.0
61.2,47.0,655.0
287.28,148.0,1318.0
172.0,141.0,995.0
144.06,235.0,2265.0
108.64,298.0,654.0
165.36,99.0,718.0
680.9,127.0,2029.0
409.4,163.0,1650.0
313.95,316.0,2223.0
1136.34,388.0,8600.0
177.0,152.0,1884.0
746.24,166.0,5359.0
274.92,114.0,1159.0
43.5,82.0,437.0
54.75,123.0,570.0
130.0,49.0,502.0
525.96,183.0,1877.0
311.85,149.0,1693.0
1185.08,370.0,3319.0
258.24,128.0,1557.0
60.0,126.0,557.0
303.52,200.0,3050.0
98.9,76.0,1113.0
711.9,299.0,5456.0
182.4,131.0,763.0
351.9,140.0,2203.0
401.98,169.0,3483.0
162.61,130.0,2393.0
1210.99,389.0,15673.0
156.42,166.0,2972.0
603.58,148.0,4068.0
73.92,131.0,698.0
121.55,144.0,676.0
1234.2,369.0,6307.0
35.0,155.0,219.0
61.06,102.0,254.0
162.0,149.0,324.0
1285.7,548.0,874.0
18137.48,946.0,113930.0
1020.6,186.0,1722.0
377.0,212.0,1660.0
210.45,84.0,693.0
410.0,250.0,1455.0
279.0,86.0,988.0
240.0,102.0,1940.0
230.0,137.0,2408.0
150.29,87.0,1737.0
1940.68,291.0,12646.0
401.0,392.0,4414.0
267.0,165.0,2480.0
102.0,88.0,980.0
403.0,249.0,3189.0
857.0,186.0,2895.0
69.0,63.0,322.0
980.95,192.0,3555.0
100.8,123.0,570.0
105.28,123.0,464.0
158.4,186.0,1742.0
219.88,119.0,896.0
1292.56,195.0,8656.0
616.08,210.0,3966.0
103.4,180.0,989.0
74.4,238.0,585.0
356.31,144.0,1860.0
862.0,432.0,5249.0
791.84,392.0,5192.0
661.27,205.0,1832.0
179.0,49.0,928.0
518.4,205.0,2570.0
370.0,145.0,1328.0
839.05,172.0,2964.0
243.86,137.0,1304.0
557.28,371.0,1631.0
485.94,217.0,955.0
698.54,308.0,286.0
752.64,217.0,1432.0
809.25,40.0,321.0
178.1,253.0,593.0
81.48,405.0,302.0
1093.86,241.0,2634.0
1002.76,156.0,1040.0
551.88,92.0,887.0
